Name,총자산대비현금,산업평균대비현금,매출채권회전율,매출총이익률,대손률,총자산대비매출채권,산업평균대비매출채권,총자산대비유가증권,유가증권수익률,산업평균대비유가증권,유형자산감가상각률,산업평균대비유형자산감가상각률,총자산대비유형자산,산업평균대비유형자산,무형자산상각률,산업평균대비무형자산상각률,총자산대비무형자산,개발비계상비율,산업평균대비무형자산,재고자산회전율,매출원가율,총자산대비재고,산업평균대비재고,유효이자율,총자산대비차입금,산업평균대비차입금,역마진여부,감사의견
삼성전자,0.091489637,,6.867633162,0.404833742,0,0.095432245,,0.199518414,0.016613467,,0.010201573,,0.351432497,,0.026859925,,0.047433756,0.010464853,,4.021112446,0.668486285,0.097005044,,0.015033328,0.067285819,,0.001580139,적정의견
LG에너지솔루션,0.053983867,,6.125291907,0.218395896,0,0.12264102,,0.000949582,0.967428875,,0.009365405,,0.465019075,,0.100294273,,0.019161647,0,,3.581578175,1.444948147,0.163936229,,0.020005356,0.140954119,,0.94742352,적정의견
삼성바이오로직스,0.005948597,,0,0.463296017,1,0,,0.166125851,0.007292851,,0.001912906,,0.276921044,,0.142114674,,0.004036584,0,,0.830861716,0.735116638,0.127085247,,0.06765278,0.027276266,,-0.060359928,적정의견
SK하이닉스,0.052476056,,5.201066249,0.440771284,0,0.085770447,,0.037616212,0.008986417,,0.00412324,,0.550225232,,0.103882979,,0.052550236,0.133700358,,2.696721454,0.70799439,0.092508883,,0.076086581,0.035447235,,-0.067100164,적정의견
LG화학,0.073546725,,6.678387701,0.263002769,0,0.124903516,,0.002994761,0.542784939,,0.010038699,,0.476740296,,0.068894077,,0.047800695,0.163716814,,3.795075834,0.942464,0.161991299,,0.040848613,0.101015596,,0.501936326,적정의견
삼성SDI,0.09002729,,6.965863668,0.227076527,8.00E-05,0.07531638,,0.007112991,0.133842258,,0.006859814,,0.295588532,,0.048715636,,0.030925758,0,,4.211608306,0.899311241,0.096283735,,0.012007028,0.184424354,,0.12183523,적정의견
현대차,0.054694379,,37.36878451,0.186466952,0,0.013453064,,0.082694061,0.019488908,,0,,0.151928308,,0,,0.024992843,0.724787655,,8.21596089,0.876848378,0.049779096,,0.006482786,0.200802509,,0.013006122,적정의견
기아,0.172531197,,39.07951231,0.185009494,0.000422331,0.026741931,,0.09171788,0.023726461,,0.008834541,,0.233116405,,0.015371304,,0.042356172,0.704838843,,8.033252748,0.912569511,0.106023715,,0.022411658,0.113397956,,0.001314803,적정의견
POSCO홀딩스,0.052203807,,8.237248127,0.155649956,0.004333058,0.101307154,,0.151461478,0.026467643,,0.004866658,,0.323561559,,0.020937476,,0.045547564,0.5557288,,4.236004078,0.974113152,0.166336831,,0.030874173,0.155739662,,-0.004406529,적정의견
셀트리온,0.209429008,,1.736100051,0.578464941,0,0.194054558,,0.013049493,0.08961034,,0.002941211,,0.167499337,,0.022965106,,0.262872535,0.903091184,,1.393992557,0.494443342,0.101875991,,0.007615414,0.190638441,,0.081994926,적정의견
