Name,유동비율,당좌비율,이자보상비율,고정장기적합률,부채비율,자기자본비율,차입금의존도,차입금비율,현금및현금성자산구성비율,유형자산구성비율,무형자산구성비율,차입부채조달금리(평균),차입부채조달금리(기말),차입부채/영업이익,현금흐름/총자산,현금흐름/총자본,현금흐름/총부채,현금흐름/총차입부채,현금흐름/영업수익,유보율,유보액/총자산,매출총이익률,영업이익률,총자산순이익률,투하자본수익률,EBITDA마진율,당기순이익률,ROA(영업이익),ROE(영업이익),총자산회전율( ROA 유사),총부채회전율,총자본회전율,주가수익비율(PER),주가장부가비율(PBR),주가매출액비율(PSR),매출채권회전율,재고자산회전율,직원수,임원수,신용등급 (채권),최대주주등 보유비율,총자산대비CFPS,감사의견
KB금융,0,0,0,0,12.74698583,0.072743219,0.187292276,2.574704269,,,,,,20.39199281,0.008158254,0.112151405,0.008798269,0.043558946,0.091928841,22.24583676,0.070050465,,0.400872126,0.006604019,0.515430233,0.467054236,0.288239837,0.009184599,0.126260552,0.088745318,0.095707381,1.219980631,0,151.4229338,0,,,160,4,5,9,-0.010092344,적정의견
신한지주,0,0,0,0,12.08382784,0.076430232,0.190258447,2.489308763,,,,,,20.71815172,0.007593812,0.099356132,0.00822224,0.039913141,0.17164235,15.14103119,0.069371712,,0.404238184,0.006345158,0.424378384,0.465544752,0.279310225,0.009183177,0.120151102,0.044242066,0.047903329,0.57885558,0,157.6004893,0,,,189,3,10,9,0.002958841,적정의견
삼성생명,0,0,0,0,7.615253305,0.116073198,0.06098011,0.525359096,,,,,,12.23825133,0.005667395,0.048826046,0.006411612,0.092938424,0.055153958,398.22669,0.116651148,,0.096453218,0.004680092,1.110754077,0.122837948,0.0905946,0.004982747,0.042927628,0.102755913,0.116249346,0.885268217,0,213.6709937,0,,,"5,188",16,4,45,-0.017536917,적정의견
하나금융지주,0,0,0,0,13.15365103,0.070653148,0.169593596,2.40036857,,,,,,18.3998561,0.008547906,0.12098408,0.009197757,0.050402293,0.103049055,21.99387228,0.065713468,,0.426142152,0.007128303,0.835255828,0.496884055,0.329568435,0.009217115,0.130455834,0.082949874,0.089256099,1.174043574,0,140.2858485,0,,,121,3,6,9,-0.010171446,적정의견
카카오뱅크,0,0,0,0,5.527377807,0.153200876,0,0,,,,,,0,0.006957506,0.045414272,0.008216242,0,0.235459883,1.324008459,0.087279913,,0.326896824,0.005663807,1.968617693,0.386217294,0.259704702,0.007129176,0.046534827,0.029548585,0.034894444,0.192874776,0,176.5596794,0,,,"1,230",3,5,27,-0.024788605,적정의견
삼성화재,0,0,0,0,5.127806482,0.163190532,0,0,,,,,,0,0.014924209,0.091452662,0.017834656,0,0.057961056,639.2842364,0.178271615,,0.074945628,0.011847285,1.107612734,0.089597751,0.055938855,0.015872728,0.097265006,0.257486829,0.307700665,1.577829462,0,84.40752269,0,,,"5,590",14,3,19,-0.012005815,적정의견
우리금융지주,0,0,0,0,14.50020272,0.064515285,0.155214281,2.40585282,,,,,,18.96559655,0.007558036,0.117151097,0.008079273,0.048694208,0.124299777,6.099913936,0.049656386,,0.369867796,0.00627789,0.708913095,0.44989974,0.283723316,0.008183992,0.126853527,0.060804908,0.064998291,0.942488396,0,159.2891965,0,,,155,2,4,10,-0.017618509,적정의견
카카오페이,2.714245268,2.714245268,-0.049389823,0.091161853,0.911693449,0.52309642,0.03455095,0.066050825,,,,,,-4.356067961,-0.000962786,-0.001840551,-0.002018827,-0.027865682,-0.007205901,24.67798303,0.474058311,,-0.05936411,-0.009864894,-0.837745007,-0.016565258,-0.07383309,-0.007931683,-0.015162946,0.133610745,0.280163015,0.255422786,-0,-101.3695619,0,,,"1,001",2,4,47,0.04508013,적정의견
기업은행,0,0,0,0,13.45754693,0.069168027,0.46927774,6.784604942,,,,,,57.81131739,0.006726689,0.097251423,0.007226534,0.014334132,0.153084421,5.50320668,0.058220666,,0.37186537,0.006094228,0.994626182,0.402390505,0.279181956,0.008117403,0.117357729,0.043941043,0.047206203,0.635279688,0,164.089693,0,,,"13,689",15,7,66,-0.028850096,적정의견
메리츠화재,0,0,0,0,10.56041312,0.086502099,0.034590744,0.399883286,,,,,,1.055346491,0.025880437,0.299188542,0.02833114,0.748189667,0.060414923,43.72673719,0.095246194,,0.090228135,0.023867553,0.866792434,0.09586451,0.065702978,0.03277667,0.378911845,0.428378214,0.468942745,4.952229121,0,41.89788503,0,,,"2,735",11,2,56,0.056617356,적정의견
