Name,유동비율,당좌비율,이자보상비율,고정장기적합률,부채비율,자기자본비율,차입금의존도,차입금비율,현금및현금성자산구성비율,유형자산구성비율,무형자산구성비율,차입부채조달금리(평균),차입부채조달금리(기말),차입부채/영업이익,현금흐름/총자산,현금흐름/총자본,현금흐름/총부채,현금흐름/총차입부채,현금흐름/영업수익,유보율,유보액/총자산,매출총이익률,영업이익률,총자산순이익률,투하자본수익률,EBITDA마진율,당기순이익률,ROA(영업이익),ROE(영업이익),총자산회전율( ROA 유사),총부채회전율,총자본회전율,주가수익비율(PER),주가장부가비율(PBR),주가매출액비율(PSR),매출채권회전율,재고자산회전율,직원수,임원수,신용등급 (채권),최대주주등 보유비율,총자산대비CFPS,감사의견
NAVER,1.408980055,1.407415077,0.036661988,0.197772482,0.402192494,0.713168844,0.117581557,0.164871976,,,,,,2.988688235,0.50230896,0.704333853,1.7512357,4.272004681,2.482295131,1491.712217,0.729732311,,0.194420064,0.48908083,5.403290461,0.257997394,2.416924764,0.039342195,0.055165331,0.202356663,0.705490527,0.283742994,1.846813723,2.0446518,4.46360982,,,"4,885",6,3,9,0.061441647,적정의견
카카오,1.544415388,1.526915257,0.093967832,0.430141906,0.676203461,0.596586288,0.144847735,0.242794275,,,,,,5.546266058,0.077494163,0.129895983,0.192096005,0.53500431,0.287661397,222.6845718,0.436390046,,0.096944596,0.072264497,0.224795653,0.157748035,0.268248673,0.026116262,0.043776168,0.269393681,0.667785136,0.45155862,15.01699453,13.83805378,4.028288852,,,"3,603",5,4,24,0.06531221,적정의견
SK텔레콤,0.912682182,0.883282151,0.224153206,0.329229145,1.505953075,0.399049771,0.348318609,0.872870089,,,,,,7.76187136,0.210988275,0.528726716,0.351091096,0.605733571,0.389401075,380.6174204,0.375467083,,0.082822638,0.078255874,0.11662775,0.328478854,0.144429455,0.044875597,0.11245614,0.541827664,0.9016182,1.3577947,4.541328629,12.77859345,0.655901618,,,"5,376",13,4,30,0.172237239,적정의견
엔씨소프트,3.697244108,3.687630203,0.02353553,0.642954583,0.454001812,0.687757052,0.16866336,0.245236831,,,,,,2.059620812,0.107075186,0.155687514,0.342922672,0.634845565,0.212492618,341.9427272,0.819205523,,0.162513142,0.086369308,0.368499644,0.203102819,0.171401435,0.081890491,0.119068923,0.503900732,1.613809811,0.732672578,25.85210791,11.57818695,4.431088383,,,"4,714",6,4,12,0.11917752,적정의견
KT,1.177307526,1.126262754,0.196779377,0.445140059,1.242951644,0.445841087,0.258268089,0.579282835,,,,,,5.740479859,0.134669557,0.302057305,0.243016135,0.521433204,0.200989276,9.218181028,0.388107932,,0.067146906,0.039273974,0.073439458,0.213638723,0.058614937,0.044990679,0.100911918,0.670033546,1.209100008,1.502852842,6.727310975,25.46215452,0.39432091,,,"20,863",22,7,13,0.156881334,적정의견
삼성에스디에스,3.196220529,3.177529846,0.019831748,0.771955967,0.41293057,0.70774886,0.043932905,0.062074144,,,,,,0.571788913,0.100168821,0.14153159,0.342749121,2.280040933,0.077294101,185.8833998,0.683781378,,0.05928816,0.06022206,0.208666164,0.091742149,0.046469649,0.076834132,0.108561294,1.295943935,4.434350316,1.831078802,15.39294095,16.60521074,0.715304568,,,"11,752",15,6,57,0.106952569,적정의견
크래프톤,5.725164393,5.725164393,0.011780057,0.696422292,0.22283029,0.817774967,0.030736535,0.037585566,,,,,,0.270783056,0.104243966,0.127472679,0.572061719,3.391532762,0.311413938,940.0679097,0.816886061,,0.339094342,0.092257024,0.324289239,0.374903597,0.275604664,0.113509817,0.138803242,0.334744059,1.836981745,0.409335175,16.94327975,10.83928309,4.669646924,,,"1,712",1,6,22,0.163302404,적정의견
하이브,3.414709758,3.272905904,0.091381299,0.576739287,0.638238691,0.610411661,0.259244589,0.424704516,,,,,,6.443946398,0.046542647,0.076247965,0.119466222,0.179531798,0.175246114,134.995215,0.590252642,,0.151479931,0.029781588,0.085963362,0.217801287,0.112136028,0.040230718,0.065907518,0.265584474,0.681705398,0.435090761,42.57647412,33.57779316,4.774356685,,,600,2,2,33,0.050173477,적정의견
LG유플러스,1.017888865,0.970317083,0.180079321,0.396281078,1.433922703,0.410859391,0.364547768,0.887281088,,,,,,7.212846803,0.162797479,0.396236479,0.276330431,0.446573791,0.227668779,2.019905834,0.268406648,,0.070681139,0.037387648,0.051107117,0.246922003,0.052285824,0.050541454,0.123013993,0.715062816,1.2137388,1.740407622,7.174186502,26.74680138,0.375108249,,,"10,354",9,4,38,0.19316776,적정의견
넷마블,0.642158442,0.640861472,0.173667006,0.216526793,0.775031385,0.56337032,0.231424045,0.410784944,,,,,,16.34075075,0.036647102,0.065049756,0.08393177,0.158354771,0.155888049,719.952639,0.580304839,,0.060243426,0.023366778,0.054521623,0.1202987,0.099396712,0.014162388,0.025138682,0.235086025,0.538410548,0.417285073,17.90279436,42.7958018,1.779478901,,,840,4,2,24,0.02098945,적정의견
카카오게임즈,1.366092113,1.29470416,0.096941664,0.352794825,0.778573256,0.562248418,0.152063152,0.270455455,,,,,,5.84925468,0.13284967,0.23628287,0.303481873,0.873648009,0.564869155,270.5559189,0.486774131,,0.110537805,0.120825376,0.22201882,0.153267445,0.513742547,0.025997013,0.046237593,0.235186625,0.53726048,0.418296641,6.612208169,8.276407133,3.396972664,,,460,3,4,52,0.052826069,적정의견
펄어비스,2.632482634,2.632482634,0.036928558,0.726703707,0.886795897,0.529999032,0.253788314,0.47884675,,,,,,8.010030438,0.116702229,0.220193286,0.248302103,0.459840829,0.392081256,116.9845855,0.57105211,,0.106447235,0.052608136,0.078392492,0.457202279,0.176746103,0.031683814,0.05978089,0.297648068,0.633292459,0.561601155,39.77095454,19.00846663,7.029361222,,,895,3,8,50,0.184406037,적정의견
현대오토에버,2.039236291,2.03455268,0.060130746,0.701437852,0.705252528,0.586423409,0.08289129,0.141350583,,,,,,2.023521835,0.035682254,0.060847254,0.086277258,0.43047049,0.040434542,98.75274765,0.577163634,,0.046419584,0.02530369,0.122529921,0.032521368,0.028673724,0.040963872,0.069853747,0.88246961,2.13375135,1.504833534,47.01459441,39.51992726,1.348083517,,,"3,869",7,4,75,0.037576718,적정의견
JYP Ent.,2.728995493,2.704420615,0.000774728,0.51519952,0.266383721,0.789650075,0.007433727,0.009413951,,,,,,0.040750393,0.227307899,0.287859024,1.080617922,30.57791905,0.372108568,13.42010361,0.758629797,,0.298627601,0.212655441,0.78527761,0.322819435,0.348122137,0.182420988,0.23101497,0.61086446,2.904039345,0.773588808,33.34098758,4.702442568,11.60673586,,,287,4,4,16,0.177283785,적정의견
스튜디오드래곤,1.26611108,1.26611108,0.017897831,0.268018475,0.292695192,0.773577566,0,0,,,,,,0,0.156238717,0.201969038,0.690031965,0,0.283546741,44.56941754,0.756601761,,0.107935422,0.044170722,0.094676664,0.311319804,0.08016236,0.059474116,0.076881904,0.551015738,2.433573956,0.712295395,58.04141454,22.6394308,4.652736752,,,162,3,4,55,0.003054728,적정의견
에스엠,1.920360505,1.884408225,0.107242589,0.647080149,0.667772934,0.599602008,0.08722844,0.145477232,,,,,,1.698757627,0.150219903,0.250532688,0.375176464,1.722143634,0.28155764,51.81659042,0.467865354,,0.096242418,0.1013164,0.865178862,0.187454344,0.189897649,0.051348373,0.085637427,0.533531618,1.33250323,0.889809591,13.93502915,9.870070426,2.646229269,,,532,4,4,19,0.119903538,적정의견
CJ ENM,1.145322032,1.108550819,0.080523166,0.407655644,0.889138027,0.529341946,0.273632597,0.516929745,,,,,,7.318924485,0.089411552,0.168910763,0.189971363,0.326757677,0.199860455,35.57974397,0.495466617,,0.083570655,0.028658003,0.0739393,0.228974865,0.064058853,0.037386996,0.070629195,0.447369901,0.950520017,0.845143493,7.506866845,34.89426691,0.480881281,,,"3,404",6,4,48,0.102578808,적정의견
위메이드,1.124396329,1.124396329,0.03902638,0.399706056,0.595927636,0.626594826,0.041398567,0.066069117,,,,,,0.436860249,0.301995173,0.481962442,0.808760012,7.294821886,0.926135203,36.61723277,0.603852222,,0.290614427,0.299903572,1.808995639,0.301210878,0.919720846,0.094763868,0.151236276,0.326081086,0.873263439,0.520401817,3.296425733,3.334405097,3.031791463,,,370,2,3,45,0.100249965,적정의견
더존비즈온,0.58401193,0.578613885,0.100657532,0.253703353,0.794433208,0.557279031,0.30358481,0.544762664,,,,,,3.840240911,0.091736884,0.164615712,0.207211519,0.30217877,0.259114669,30.41631954,0.531728102,,0.223290158,0.060438533,0.121093811,0.313843897,0.170711166,0.079053585,0.141856377,0.354039717,0.79969042,0.635300626,21.13417474,16.54573586,3.607839605,,,"1,707",6,4,30,0.095262028,적정의견
아프리카TV,1.618693755,1.618693755,0.015963427,0.777128758,0.948890288,0.513112517,0.03703043,0.072168245,,,,,,0.170160088,0.210103662,0.409468987,0.431524057,5.673811088,0.31492988,37.20715303,0.523934635,,0.326198001,0.173634178,1.154780838,0.3803002,0.260264815,0.217621125,0.424119696,0.667144262,1.370222658,1.300190972,14.30585447,5.759234791,3.723310574,,,664,4,3,26,0.346700287,적정의견
넥슨게임즈,2.098181475,2.098181475,0.331193735,0.953492991,1.057504045,0.486025776,0.10812746,0.222472687,,,,,,-3.449670166,-0.038287042,-0.078775744,-0.074492145,-0.354091756,-0.076939234,3.271870956,0.372341123,,-0.062987514,-0.062808569,-0.008147061,-0.013710597,-0.126216153,-0.03134429,-0.064491003,0.497627029,0.968194523,1.023869624,-118.3494253,-15.92139442,14.93760912,,,953,2,4,64,-0.217725555,적정의견
다우기술,1.738622822,1.738620481,0.008127868,1.439605596,9.034171873,0.099659445,0.333522148,3.346618557,,,,,,12.28853477,0.003305573,0.033168684,0.003671469,0.009911104,0.025155693,87.50787862,0.042378835,,0.206544748,0.003373786,0.179281016,0.035817833,0.025674805,0.027140921,0.272336663,0.131404555,0.145949835,1.31853589,5.79633481,296.4028844,0.148819766,,,601,7,5,47,0.004895416,적정의견
더블유게임즈,5.148696253,5.148696253,0.008856934,0.410044446,0.166334398,0.857387043,0.083035029,0.096846611,,,,,,0.602772632,0.137653756,0.16055031,0.965226145,1.657779336,0.304816956,96.15730113,0.639278214,,0.305041463,0.093856401,3.823446488,0.274400767,0.207833215,0.137755141,0.16066856,0.45159481,3.166576284,0.526710561,6.844804856,10.6545743,1.422577798,,,315,4,3,43,0.022333772,적정의견
NHN,1.889592084,1.822168096,0.067974733,0.482536804,0.442466635,0.693256936,0.037133883,0.053564387,,,,,,1.148580257,0.012655914,0.018255733,0.041259005,0.340818482,0.019915824,198.0083561,0.639877626,,0.050876098,-0.111915696,-0.341178833,0.040065365,-0.17611477,0.032330246,0.046635302,0.635470245,2.071669487,0.916644626,-2.588695533,-8.935297135,0.455907519,,,495,4,3,48,0.08304864,적정의견
CJ CGV,0.636283428,0.623194116,-0.962780433,0.486129439,11.56447467,0.07958948,0.803922209,10.10086024,,,,,,-12.60424586,0.11059438,1.389560291,0.120157666,0.13756851,0.568579989,10.03974885,0.054113058,,-0.327910763,0.241498014,1.976209382,1.765240303,1.241572472,-0.063781857,-0.801385529,0.194509801,0.211329397,2.443913463,0.932483439,4.140820806,1.157745768,,,"4,169",9,2,40,-1.018838636,적정의견
위지윅스튜디오,1.963563784,1.900393325,0.587643189,0.532683832,0.403225675,0.712643745,0.204457729,0.286900334,,,,,,-19.15308594,0.001016456,0.001426317,0.003537267,0.004971472,0.003130645,8.062746983,0.465003389,,-0.032878361,-0.049321945,-0.151252031,0.040137464,-0.151909724,-0.010674924,-0.014979327,0.324679314,1.129884276,0.45559835,-46.57154451,-20.27495065,7.074670468,,,139,2,7,48,-0.003998214,적정의견
와이지엔터테인먼트,2.328447841,2.220608733,0.062099306,0.415189187,0.287346895,0.776791402,0.048847588,0.062883791,,,,,,1.050792058,0.110798035,0.142635507,0.496387848,2.268239618,0.193625384,39.24260505,0.592435528,,0.081237505,0.091171989,0.213322105,0.093687695,0.159327838,0.046486446,0.059844182,0.572228873,2.563650681,0.736657063,14.46649629,10.96828101,2.304915582,,,390,4,6,21,0.072330633,적정의견
