Name,총자산대비현금,매출채권회전율,매출총이익률,대손률,총자산대비매출채권,총자산대비금융자산,총자산대비단기금융자산,금융자산수익률,단기금융자산수익률,총자산대비유가증권,유가증권수익률,유형자산감가상각률,총자산대비유형자산,무형자산상각률,총자산대비무형자산,개발비계상비율,재고자산회전율,매출원가율,총자산대비재고,유효이자율,단기유효이자율,총자산대비차입금,역마진여부,단기역마진여부,감사의견
KB금융,0.00398258,0,0.73825929,0,0,0,0,0,0,0,0,0.316011676,0.007892651,0,0.004919984,0,0,0.26174071,0,0,0,0.187292276,0,0,적정의견
신한지주,0.006512963,0,0.731401574,0,0,0,0,0,0,0,0,0.261852186,0.006242614,0.027494773,0.008709038,0.900498294,0,0.268598426,0,0,0,0.190258447,0,0,적정의견
삼성생명,0.01698696,0,0.632501312,0,0,0,0,0,0,0,0,0.227909335,0.002467042,0,0.001746396,1,0,0.367498688,0,0,0,0.06098011,0,0,적정의견
하나금융지주,0.004042524,0,0.684353454,0,0,0,0,0,0,0,0,0.143153683,0.007044885,0.225363706,0.00148939,0,0,0.315646546,0,0,0,0.169593596,0,0,적정의견
카카오뱅크,0.000184461,0,0.790473101,0,0,0,0,0,0,0,0,0.396360478,0.001948637,0.561536163,0.000928411,1,0,0.209526899,0,0,0,0,0,0,적정의견
삼성화재,0.018262521,0,0.937427008,0,0,0,0,0,0,0,0,0.20137248,0.008333498,0.615472743,0.002362736,1,0,0.062572992,0,0,0,0,0,0,적정의견
우리금융지주,0.015793532,0,0.706002851,0,0,0,0,0,0,0,0,0.360145528,0.007099362,0,0.001756293,1,0,0.293997149,0,0,0,0.155214281,0,0,적정의견
카카오페이,0.30477933,82.23082757,1,0,0.001624825,0,0.327511925,0,0.006175722,0,0,0.771054678,0.005055083,0.357295002,0.005095625,0,0,0,0,0.01533073,0,0.03455095,-0.01533073,0.006175722,적정의견
기업은행,0.001937499,0,0.705270361,0,0,0,0,0,0,0,0,0.157353337,0.005451794,0.235636545,0.00067536,1,0,0.294729639,0,0,0,0.46927774,0,0,적정의견
메리츠화재,0.021410461,0,0.794724704,0,0,0,0,0,0,0,0,0.001107223,0.026021216,0.100384799,0.001514273,1,0,0.205275296,0,0,0,0.034590744,0,0,적정의견
메리츠금융지주,0.022471266,0,0.752133437,0,0,0,0,0,0,0,0,0.287920767,0.009405277,0.189330107,0.00504252,1,0,0.247866563,0,0,0,0.412939299,0,0,적정의견
DB손해보험,0.012641139,0,0.862124772,0,0,0,0,0,0,0,0,0,0.00705956,0,0.003295464,1,0,0.137875228,0,0,0,0.034287059,0,0,적정의견
미래에셋증권,0.034945582,0,1,0,0,0,0,0,0,0,0,0.204127066,0.003999692,0.073937665,0.004603297,1,0,0,0,0,0,0.551794297,0,0,적정의견
삼성카드,0.054145055,0,1,0,0,0,0,0,0,0,0,0.166500047,0.001929867,0.264267007,0.003797565,1,0,0,0,0,0,0.613860697,0,0,적정의견
메리츠증권,0.021560386,0,1,0,0,0,0,0,0,0,0,0.42455067,0.000700713,0.111863612,0.000740658,0,0,0,0,0,0,0.594490555,0,0,적정의견
한국금융지주,0.031358878,0,0.688894974,0,0,0,0,0,0,0,0,0.322731283,0.0046265,0.103483293,0.00146288,0.928784669,0,0.311105025,0,0,0,0.504815375,0,0,적정의견
NH투자증권,0.02303893,0,1,0,0,0,0,0,0,0,0,0.519359462,0.00275597,0.016944083,0.000970824,1,0,0,0,0,0,0.4012096,0,0,적정의견
삼성증권,0.049371172,0,1,0,0,0,0,0,0,0,0,0.411648594,0.001591558,0.151887734,0.001308571,1,0,0,0,0,0,0.42371877,0,0,적정의견
현대해상,0.019035463,0,0.868208009,0,0,0,0,0,0,0,0,0,0.022451244,0,0.001877106,1,0,0.131791991,0,0,0,0.024557432,0,0,적정의견
키움증권,0.022847481,0,1,0,0,0,0,0,0,0,0,0.431464309,0.003063994,0.136349381,0.002016121,0,0,0,0,0,0,0.331723729,0,0,적정의견
BNK금융지주,0.009800349,0,0.724048113,0,0,0,0,0,0,0,0,0.130921783,0.009044336,0.255498602,0.002284213,0,0,0.275951887,0,0,0,0.164350806,0,0,적정의견
한화생명,0.015888706,0,0.733834119,0,0,0,0,0,0,0,0,0,0.011518287,0,0.007101809,1,0,0.266165881,0,0,0,0.042712138,0,0,적정의견
JB금융지주,0.013479943,0,0.764642369,0,0,0,0,0,0,0,0,0.210520273,0.007586367,0.226906386,0.002574135,1,0,0.235357631,0,0,0,0.183729089,0,0,적정의견
효성,0.034607101,5.466648682,0.264870043,-0.000801706,0.123123872,0,0.039630602,0,0.023822699,0,0,0.048479104,0.190212939,0.038810136,0.012883542,0,3.735965187,0.735129957,0.132441695,0.019440932,0,0.232777088,-0.019440932,0.023822699,적정의견
DGB금융지주,0.004985333,0,0.748279118,0,0,0,0,0,0,0,0,0.138072973,0.009623436,0.172974979,0.003101701,0,0,0.251720882,0,0,0,0.197007802,0,0,적정의견
코리안리,0.052901554,0,0.931137845,0,0,0,0,0,0,0,0,0.002485529,0.007309493,0.147083038,0.001384072,1,0,0.068862155,0,0,0,0,0,0,적정의견
오리온홀딩스,0.11463057,12.99392114,0.40127174,0.00051869,0.037458408,0,0.042674471,0,0.068150759,0,0,0.015375049,0.411741385,0.003472809,0.262713721,0,6.906523575,0.59872826,0.042194884,0.025994526,0,0.070078311,-0.025994526,0.068150759,적정의견
동양생명,0.025405022,0,0.941930387,0,0,0,0,0,0,0,0,0.332568075,0.001743278,0,0.000595124,1,0,0.058069613,0,0,0,0.008085524,0,0,적정의견
대신증권,0.030439405,0,1,0,0,0,0,0,0,0,0,0.163903886,0.015509581,0.021265033,0.005021118,0.970797044,0,0,0,0,0,0.528264765,0,0,적정의견
