Name,총자산대비현금,산업평균대비현금,매출채권회전율,매출총이익률,대손률,총자산대비매출채권,산업평균대비매출채권,총자산대비금융자산,총자산대비단기금융자산,금융자산수익률,단기금융자산수익률,총자산대비유가증권,유가증권수익률,산업평균대비유가증권,유형자산감가상각률,산업평균대비유형자산감가상각률,총자산대비유형자산,산업평균대비유형자산,무형자산상각률,산업평균대비무형자산상각률,총자산대비무형자산,개발비계상비율,산업평균대비무형자산,재고자산회전율,매출원가율,총자산대비재고,산업평균대비재고,유효이자율,단기유효이자율,총자산대비차입금,산업평균대비차입금,역마진여부,단기역마진여부,감사의견
NAVER,0.082556023,-0.077783135,0,1,0,0,-0.082094477,0,0.038185106,0,0.01554961,0,0,0,0.228955694,0.065787989,0.062665437,-0.013422737,0.022723104,-0.06158979,0.02766769,0,0,0,0,0.000182242,5.20156E-09,0.011401328,0,0.117581557,2.08167E-16,-0.011401328,0.01554961,적정의견
카카오,0.229657818,0.069318659,15.41423578,1,0.008934344,0.01747694,-0.064617536,0,0.084876759,0,0.019079298,0,0,0,0.499422913,0.336255208,0.024360277,-0.051727897,0.021324467,-0.062988427,0.278661878,1,1,0,0,0.004030274,0.003848037,0.011937934,0,0.144847735,0.027266178,-0.011937934,0.019079298,적정의견
SK텔레콤,0.028233418,-0.132105741,8.752803093,1,0,0.061903331,-0.020191146,0,0.019883164,0,0.059725291,0,0,0,0.308658037,0.145490333,0.416393635,0.340305461,0,-0.084312894,0.192236057,1,1,0,0,0.006620141,0.006437904,0.025981025,0,0.348318609,0.230737052,-0.025981025,0.059725291,적정의견
엔씨소프트,0.055859577,-0.104479582,8.307501254,1,-0.0108118,0.060656113,-0.021438364,0,0.394212834,0,0.015726547,0,0,0,0.121942175,-0.041225529,0.163096138,0.087007964,0.029509676,-0.054803218,0.009236842,0,0,0,0,0.00139189,0.001209654,0.017044642,0,0.16866336,0.051081803,-0.017044642,0.015726547,적정의견
KT,0.081260645,-0.079078514,8.347004744,1,0,0.080272333,-0.001822143,0,0.031907428,0,0.23063967,0,0,0,0.228480467,0.065312763,0.389266483,0.31317831,0.175012684,0.090699789,0.09277164,0.574751725,0.574751725,0,0,0.013836225,0.013653988,0.027444725,0,0.258268089,0.140686533,-0.027444725,0.23063967,적정의견
삼성에스디에스,0.102771122,-0.057568037,7.103191608,0.123489594,-0.000354357,0.182445302,0.100350825,0,0.333759814,0,0.017322907,0,0,0,0.0509733,-0.112194405,0.112064837,0.035976663,0.035620222,-0.048692672,0.068016783,0.327060389,0.327060389,269.6661485,0.876510406,0.004212276,0.00403004,0.038196158,0,0.043932905,-0.073648652,-0.038196158,0.017322907,적정의견
크래프톤,0.535804302,0.375465144,3.554192409,1,0.001812078,0.094182875,0.012088398,0,0.007276836,0,0.265217675,0,0,0,0.253182983,0.090015279,0.043255568,-0.032832606,0.007040803,-0.077272091,0.147051631,0,0,0,0,0,-0.000182236,0.040191186,0,0.030736535,-0.086845021,-0.040191186,0.265217675,적정의견
하이브,0.143305453,-0.017033706,7.46722193,0.496047439,0.003577621,0.035566704,-0.046527772,0,0.205975903,0,0.009575357,0,0,0,0.395066044,0.231898339,0.018369362,-0.057718812,0.022872947,-0.061439948,0.281256555,0,0,7.608688761,0.503952561,0.017590676,0.017408439,0.010795938,0,0.259244589,0.141663032,-0.010795938,0.009575357,적정의견
LG유플러스,0.039767554,-0.120571604,7.855332511,1,0.04052112,0.091028969,0.008934492,0,0.006297096,0,0.447695486,0,0,0,0.259224028,0.096056323,0.526373666,0.450285493,0,-0.084312894,0.118911449,0,0,0,0,0.01246033,0.012278093,0.021688377,0,0.364547768,0.246966211,-0.021688377,0.447695486,적정의견
넷마블,0.126945985,-0.033393174,12.43805893,1,0.001141963,0.01890054,-0.063193937,0,0.025341764,0,0.028815592,0,0,0,0.180104307,0.016936602,0.030270603,-0.045817571,0.025994995,-0.058317899,0.384382353,0,0,0,0,0.000371708,0.000189471,0.014677726,0,0.231424045,0.113842489,-0.014677726,0.028815592,적정의견
카카오게임즈,0.187845247,0.027506088,11.17546571,1,0.004159249,0.021044906,-0.061049571,0,0.034720124,0,0.046793339,0,0,0,0.489978793,0.326811089,0.017512341,-0.058575832,0.010879463,-0.073433431,0.494361507,0,0,0,0,0.013974571,0.013792335,0.010535799,0,0.152063152,0.034481595,-0.010535799,0.046793339,적정의견
펄어비스,0.179766056,0.019426897,9.030499261,1,1.46263E-05,0.032960311,-0.049134165,0,0.297078747,0,0.00635931,0,0,0,0.166349068,0.003181363,0.101292943,0.02520477,0.030316557,-0.053996337,0.22288843,0,0,0,0,0,-0.000182236,0.012545141,0,0.253788314,0.136206757,-0.012545141,0.00635931,적정의견
현대오토에버,0.059798636,-0.100540522,3.773481414,0.110722517,-0.002281117,0.23386086,0.151766384,0,0.245375859,0,0.009599068,0,0,0,0.105914933,-0.057252771,0.040444716,-0.035643458,0.002717345,-0.081595549,0.241927755,0.812193854,0.812193854,544.9371264,0.889277483,0.001440093,0.001257857,0.027120042,0,0.08289129,-0.034690266,-0.027120042,0.009599068,적정의견
JYP Ent.,0.15480592,-0.005533238,7.870228288,0.537152848,0.036716991,0.077617121,-0.004477356,0,0.181320176,0,0.012843722,0,0,0,0.157141018,-0.006026687,0.120617735,0.044529561,0.011650429,-0.072662465,0.09308098,0,0,62.60637296,0.462847152,0.004516104,0.004333867,0.015923879,0,0.007433727,-0.11014783,-0.015923879,0.012843722,적정의견
스튜디오드래곤,0.0730898,-0.087249359,3.940100751,0.163750896,0.000383306,0.139848134,0.057753658,0,0.006042432,0,0.26125465,0,0,0,0.300170384,0.13700268,0.008758569,-0.067329605,0.001234339,-0.083078555,0.337125226,0,0,0,0.836249104,0,-0.000182236,0,0,0,-0.117581557,0,0.26125465,적정의견
에스엠,0.25194153,0.091602372,7.207135027,0.376836116,0.033907816,0.074028253,-0.008066223,0,0.141887395,0,0.01630688,0,0,0,0.473096193,0.309928488,0.050678356,-0.025409817,0.044749784,-0.039563111,0.110129274,0,0,30.34861544,0.623163884,0.010955282,0.010773045,0.035657634,0,0.08722844,-0.030353116,-0.035657634,0.01630688,적정의견
CJ ENM,0.162125239,0.00178608,4.439474182,0.46016997,0.007096888,0.100770921,0.018676444,0,0.027564407,0,0.026945538,0,0,0,0.06701753,-0.096150174,0.141165987,0.065077813,0.010546037,-0.073766858,0.166470966,0,0,22.45153624,0.539830031,0.010756667,0.010574431,0.01035599,0,0.273632597,0.156051041,-0.01035599,0.026945538,적정의견
위메이드,0.266451999,0.106112841,4.155461071,1,0.038566159,0.078470495,-0.003623982,0,0.021490837,0,0.038428015,0,0,0,0.093261706,-0.069905999,0.039394786,-0.036693387,0.022133241,-0.062179654,0.047919294,0,0,0,0,0,-0.000182236,0.023112364,0,0.041398567,-0.076182989,-0.023112364,0.038428015,적정의견
더존비즈온,0.045913772,-0.114425386,6.182689365,0.446617381,0.036359232,0.057263061,-0.024831416,0,0.121471896,0,0.007888491,0,0,0,0.052054602,-0.111113102,0.383451654,0.30736348,0.005445822,-0.078867072,0.060169681,1,1,84.79337398,0.553382619,0.002310551,0.002128315,0.026355948,0,0.30358481,0.186003253,-0.026355948,0.007888491,적정의견
아프리카TV,0.184008663,0.023669505,23.61493705,1,0.275249302,0.028250944,-0.053843533,0,0.389076545,0,0.005145846,0,0,0,0.437170906,0.274003201,0.084322803,0.00823463,0.05305483,-0.031258065,0.039144852,0,0,0,0,0,-0.000182236,0.062112837,0,0.03703043,-0.080551127,-0.062112837,0.005145846,적정의견
넥슨게임즈,0.463196893,0.302857734,3.428899031,1,0,0.14512735,0.063032873,0,0.228761185,0,0.021148724,0,0,0,0.174764177,0.011596472,0.116755394,0.04066722,0.722909365,0.638596471,0.005708049,0,0,0,0,0,-0.000182236,0.035658611,0,0.10812746,-0.009454096,-0.035658611,0.021148724,적정의견
다우기술,0.028587238,-0.13175192,695.5077734,0.303351983,0.027072216,0.000188933,-0.081905543,0,0.802021227,0,1.11787E-05,0,0,0,0.132179929,-0.030987776,0.007259896,-0.068828277,0.0885033,0.004190405,0.002601675,1,1,81511.6934,0.696648017,1.12306E-06,-0.000181113,0.000487538,0,0.333522148,0.215940592,-0.000487538,1.11787E-05,적정의견
더블유게임즈,0.133064185,-0.027274973,14.37609919,1,0,0.031412889,-0.050681587,0,0.210361954,0,0.005829644,0,0,0,5.025596771,4.862429067,0.001047769,-0.075040404,0.024649203,-0.059663692,0.598346786,0,0,0,0,0,-0.000182236,0.013871958,0,0.083035029,-0.034546527,-0.013871958,0.005829644,적정의견
NHN,0.197016462,0.036677304,10.85100091,1,0.008094608,0.058563284,-0.023531193,0,0.107288234,0,0.014440285,0,0,0,0.203895579,0.040727875,0.12824237,0.052154196,0.049281938,-0.035030956,0.125191046,0,0,0,0,0.016029794,0.015847558,0.054480612,0,0.037133883,-0.080447674,-0.054480612,0.014440285,적정의견
CJ CGV,0.089358139,-0.07098102,6.828302373,1,0,0.028485821,-0.053608655,0,0.013709087,0,0.188206725,0,0,0,0.4259029,0.262735195,0.1928771,0.116788927,0.072380065,-0.01193283,0.04709835,0,0,0,0,0.003372776,0.00319054,0.053585215,0,0.803922209,0.686340653,-0.053585215,0.188206725,적정의견
위지윅스튜디오,0.337182753,0.176843595,9.750022453,1,-0.006482978,0.033300366,-0.048794111,0,0.011963154,0,0.06472588,0,0,0,0.166722319,0.003554614,0.162454143,0.086365969,0.088318271,0.004005376,0.126344941,1,1,0,0,0.016759182,0.016576946,0.011704509,0,0.204457729,0.086876172,-0.011704509,0.06472588,적정의견
와이지엔터테인먼트,0.071136817,-0.089202342,9.453546543,0.314922538,0,0.060530603,-0.021563874,0,0.188910269,0,0.015583876,0,0,0,0.072033423,-0.091134282,0.310480391,0.234392217,0.023488759,-0.060824135,0.071553283,1,1,21.56534476,0.685077465,0.018178291,0.017996054,0.026659917,0,0.048847588,-0.068733968,-0.026659917,0.015583876,적정의견
네오위즈,0.197335179,0.03699602,8.182304632,1,0,0.055547264,-0.026547213,0,0.206803643,0,0.010749521,0,0,0,0.289881568,0.126713864,0.139846069,0.063757895,0,-0.084312894,0.139354842,0,0,0,0,3.81039E-05,-0.000144133,0.001981525,0,0.036234857,-0.081346699,-0.001981525,0.010749521,적정의견
컴투스,0.136507166,-0.023831992,8.748955789,0.713714756,-0.001481564,0.034353702,-0.047740774,0,0.14326119,0,0.04816798,0,0,0,0.328175987,0.165008282,0.046707059,-0.029381115,0,-0.084312894,0.184639368,1,1,25.76068381,0.286285244,0.003340191,0.003157955,0.01073312,0,0.149306355,0.031724799,-0.01073312,0.04816798,적정의견
디어유,0.200852431,0.040513272,12.11233827,1,0,0.024727316,-0.057367161,0,0.545188091,0,0.001897048,0,0,0,1.579242906,1.416075201,0.001248091,-0.074840083,0.016489594,-0.067823301,0.054841249,0,0,0,0,0,-0.000182236,0.773368695,0,0.002103313,-0.115478244,-0.773368695,0.001897048,적정의견
NICE평가정보,0.228025973,0.067686814,9.360358003,1,0.001912899,0.11926359,0.037169114,0,0.173799903,0,0.021343303,0,0,0,0.355929405,0.192761701,0.13315177,0.057063596,0,-0.084312894,0.071349096,0,0,0,0,0,-0.000182236,0.023541854,0,0.049624583,-0.067956974,-0.023541854,0.021343303,적정의견
골프존,0.142604493,-0.017734665,18.97657029,0.648036837,0.009350497,0.047979047,-0.03411543,0,0.232278599,0,0.01437779,0,0,0,0.406261053,0.243093348,0.236334975,0.160246801,0.05481195,-0.029500945,0.043018211,0,0,6.158990884,0.351963163,0.052030379,0.051848143,0.022648401,0,0.136316099,0.018734542,-0.022648401,0.01437779,적정의견
안랩,0.103633643,-0.056705516,3.77777702,1,0,0.162225957,0.08013148,0,0.372849268,0,0.015438483,0,0,0,0.177369452,0.014201747,0.160494272,0.084406099,0.073301465,-0.011011429,0.038221033,0,0,0,0,0.018095627,0.017913391,0.026666292,0,0.002316726,-0.115264831,-0.026666292,0.015438483,적정의견
SBS,0.03445091,-0.125888248,3.446460618,0.34954539,0.000145681,0.214114617,0.13202014,0,0.298495843,0,0.012891693,0,0,0,0.026000604,-0.137167101,0.204045664,0.12795749,0.01167423,-0.072638665,0.014010861,0,0,337.3315766,0.65045461,0.001422917,0.001240681,0.018563601,0,0.203382344,0.085800788,-0.018563601,0.012891693,적정의견
코리아센터,0.084426657,-0.075912501,9.907082421,1,0,0.070168212,-0.011926265,0,0.059613789,0,0.030967156,0,0,0,0.214710866,0.051543162,0.122912047,0.046823873,0.040308394,-0.044004501,0.302335812,1,1,0,0,0.059573945,0.059391708,0.021029651,0,0.225692544,0.108110987,-0.021029651,0.030967156,적정의견
콘텐트리중앙,0.142887628,-0.017451531,4.211566066,0.235529424,0,0.07159592,-0.010498557,0,0.035634908,0,0.11437438,0,0,0,0.367299563,0.204131858,0.081738312,0.005650138,0.024772791,-0.059540104,0.232433419,0,0,6.854022019,0.764470576,0.033631572,0.033449336,0.032122823,0,0.509819798,0.392238242,-0.032122823,0.11437438,적정의견
웹젠,0.118416373,-0.041922785,10.56304449,1,0.047983271,0.04381898,-0.038275496,0,0.40444327,0,0.032309167,0,0,0,0.130708449,-0.032459255,0.071973238,-0.004114936,0.006981976,-0.077330918,0.051046574,0,0,0,0,8.07782E-05,-0.000101458,0.018668224,0,0.007616818,-0.109964739,-0.018668224,0.032309167,적정의견
넵튠,0.07109228,-0.089246878,8.572137596,1,0.000214229,0.005077796,-0.07701668,0,0.010855267,0,0.307104851,0,0,0,0.487392651,0.324224947,0.004864521,-0.071223652,0.045049537,-0.039263358,0.071930331,0.580481203,0.580481203,0,0,1.18865E-06,-0.000181048,0.018580312,0,0.042229821,-0.075351735,-0.018580312,0.307104851,적정의견
NHN한국사이버결제,0.468271304,0.307932145,59.72443368,0.113437622,-0.011060048,0.030378562,-0.051715915,0,0.104149611,0,0.027832593,0,0,0,0.218835926,0.055668222,0.06261608,-0.013472093,0.135602765,0.051289871,0.017828937,0.050820873,0.050820873,171.2107347,0.886562378,0.009395017,0.00921278,0.022488964,0,0.024380118,-0.093201438,-0.022488964,0.027832593,적정의견
데브시스터즈,0.114305674,-0.046033485,14.89865525,1,0,0.090567757,0.008473281,0,0.340875393,0,0.014430217,0,0,0,0.558658275,0.395490571,0.036736732,-0.039351441,0.272295514,0.187982619,0.025155559,0,0,0,0,0.000564733,0.000382497,0.018412576,0,0.063287476,-0.054294081,-0.018412576,0.014430217,적정의견
자이언트스텝,0.044871995,-0.115467164,8.283171477,1,0,0.027851485,-0.054242992,0,0.711060091,0,0.002839551,0,0,0,0.40855836,0.245390655,0.048807154,-0.02728102,0.132879164,0.04856627,0.01372547,0,0,0,0,0.000216998,3.4762E-05,0.029326831,0,0.040104528,-0.077477029,-0.029326831,0.002839551,적정의견
한국정보통신,0.446254072,0.285914914,23.49915024,0.067429982,0.003398662,0.057535386,-0.02455909,0,0.031982983,0,0.09788472,0,0,0,0.076237399,-0.086930305,0.018140975,-0.057947199,0.046005972,-0.038306923,0.010947005,1,1,53.96475708,0.932570018,0.023364603,0.023182367,0.027934902,0,0.046482327,-0.071099229,-0.027934902,0.09788472,적정의견
위메이드맥스,0.427388997,0.267049839,7.565764237,1,0.007912347,0.087867492,0.005773015,0,0.050234448,0,0.069749222,0,0,0,0.54166665,0.378498946,0.061546585,-0.014541589,0.155226969,0.070914075,0.07571182,0,0,0,0,0,-0.000182236,0.043632037,0,0.300747342,0.183165786,-0.043632037,0.069749222,적정의견
스카이라이프,0.063239817,-0.097099341,7.205322383,1,0.106310175,0.083036307,0.000941831,0,0.098292273,0,0.05878142,0,0,0,0.249500565,0.086332861,0.222977537,0.146889364,0.059884655,-0.024428239,0.355563232,0,0,0,0,0.002173632,0.001991395,0.008596816,0,0.201620237,0.084038681,-0.008596816,0.05878142,적정의견
다날,0.191570464,0.031231305,8.260933068,1,0.398450683,0.04245399,-0.039640486,0,0.154164509,0,0.013385564,0,0,0,0.868201941,0.705034237,0.011308145,-0.064780028,0.068881557,-0.015431337,0.047095818,0,0,0,0,0.001326098,0.001143862,0.033491072,0,0.333113884,0.215532328,-0.033491072,0.013385564,적정의견
LG헬로비전,0.087019011,-0.073320147,7.191979976,0.899622337,0.033541943,0.100923355,0.018828879,0,0.014959348,0,0.26821393,0,0,0,0.278175222,0.115007517,0.361872476,0.285784302,0.12696828,0.042655386,0.155678855,1,1,10.688004,0.100377663,0.006816801,0.006634565,0.021674366,0,0.396198396,0.27861684,-0.021674366,0.26821393,적정의견
덱스터,0.140146617,-0.020192541,2.301090675,1,0,0.197399044,0.115304567,0,0.115980225,0,0.016252005,0,0,0,0.347104776,0.183937072,0.161894099,0.085805926,0.059714326,-0.024598568,0.060260128,0,0,0,0,0,-0.000182236,0.009023701,0,0.179929339,0.062347782,-0.009023701,0.016252005,적정의견
KG이니시스,0.190742058,0.030402899,23.19757005,0.251103516,0.035864849,0.030504505,-0.051589971,0,0.036513155,0,0.077294939,0,0,0,0.122025954,-0.04114175,0.099873935,0.023785761,0.05171512,-0.032597775,0.108351797,0.268411375,0.268411375,116.6694995,0.748896484,0.004542249,0.004360013,0.032132836,0,0.247963174,0.130381618,-0.032132836,0.077294939,적정의견
롯데정보통신,0.195617091,0.035277932,7.213960773,0.081346636,-0.001445385,0.171858757,0.08976428,0,0.012213421,0,0.048266466,0,0,0,0.012176917,-0.150990787,0.388325324,0.31223715,0.017703497,-0.066609398,0.05878613,0,0,104.6943668,0.918653365,0.01087862,0.010696383,0.006027055,0,0.14090177,0.023320214,-0.006027055,0.048266466,적정의견
상상인,0.095304206,-0.065034952,0.243049706,0.378718114,-0.000613265,0.407495169,0.325400693,0,0.037490252,0,0.000663316,0,0,0,0.06457713,-0.098590575,0.016155147,-0.059933027,0.021883919,-0.062428976,0.009669293,0.285419582,0.285419582,25.15456588,0.621281885,0.002446186,0.002263949,0.006008292,0,0.046588561,-0.070992996,-0.006008292,0.000663316,적정의견
한글과컴퓨터,0.192004499,0.031665341,9.160060034,0.481684619,0.021626688,0.050502244,-0.031592233,0,0.093455924,0,0.02294544,0,0,0,0.092949997,-0.070217707,0.13162952,0.055541346,0.042462912,-0.041849983,0.305333407,0.280829348,0.280829348,3.580067291,0.518315378,0.066974873,0.066792636,0.093749339,0,0.110949448,-0.006632108,-0.093749339,0.02294544,적정의견
루닛,0.167722197,0.007383039,5.259417083,1,0,0.0134504,-0.068644077,0,0.764748253,0,0.002017071,0,0,0,1.195539254,1.03237155,0.017520681,-0.058567492,0,-0.084312894,0.004769149,0,0,0,0,0.001091679,0.000909442,2.480430095,0,0.010011888,-0.107569669,-2.480430095,0.002017071,적정의견
사람인에이치알,0.056280971,-0.104058188,11.04420855,1,0.008233962,0.06033871,-0.021755767,0,0.146506136,0,0.051436256,0,0,0,0.230057179,0.066889475,0.064936411,-0.011151763,0.503611914,0.41929902,0.014957915,0,0,0,0,0,-0.000182236,0.003430592,0,0.052207436,-0.06537412,-0.003430592,0.051436256,적정의견
쿠콘,0.342423178,0.18208402,9.972104792,1,0.007437013,0.030507263,-0.051587214,0,0.163585037,0,0.007166743,0,0,0,0.294039796,0.130872092,0.060772129,-0.015316044,0.204105513,0.119792619,0.037020478,0,0,0,0,0,-0.000182236,0.071280249,0,0.00508607,-0.112495487,-0.071280249,0.007166743,적정의견
키다리스튜디오,0.092943619,-0.067395539,14.08516002,0.428467529,0,0.029149778,-0.052944699,0,0.043079944,0,0.005155361,0,0,0,0,-0.163167705,0.008683469,-0.067404704,0,-0.084312894,0.601390786,0,0,197.2924239,0.571532471,0.001189399,0.001007162,0.019224835,0,0.078319322,-0.039262235,-0.019224835,0.005155361,적정의견
조이시티,0.100275002,-0.060064157,8.058298223,1,0.001126869,0.105160252,0.023065775,0,0.09261843,0,0.020162328,0,0,0,0.658611559,0.495443854,0.006255779,-0.069832394,1.093867359,1.009554465,0.011389799,0,0,0,0,0,-0.000182236,0.007555578,0,0.457057263,0.339475707,-0.007555578,0.020162328,적정의견
컴투스홀딩스,0.040316832,-0.120022327,18.84400099,1,0,0.013058728,-0.069035748,0,0.000236462,0,1.072679954,0,0,0,0.684275376,0.521107672,0.010022919,-0.066065255,0.143943823,0.059630928,0.013268391,0,0,0,0,0,-0.000182236,0.024985813,0,0.249351433,0.131769877,-0.024985813,1.072679954,적정의견
KX,0.094106491,-0.066232668,12.67887027,0.42980113,0,0.027216463,-0.054878013,0,0.053720474,0,0.01270422,0,0,0,0.007983611,-0.155184093,0.612179126,0.536090952,0.035841554,-0.048471341,0.031743897,0,0,5.796102611,0.57019887,0.033947089,0.033764852,0.023675674,0,0.447250946,0.32966939,-0.023675674,0.01270422,적정의견
현대퓨처넷,0.05460511,-0.105734049,6.569698633,0.316338292,-0.008653454,0.020123054,-0.061971422,0,0.316999887,0,0.002940338,0,0,0,0.025752523,-0.137415182,0.100952434,0.02486426,0.023931742,-0.060381153,0.073499265,0.078179326,0.078179326,3.094535654,0.683661708,0.029206876,0.02902464,0.037473228,0,0.03583025,-0.081751306,-0.037473228,0.002940338,적정의견
